Time resolution is 1 ps
Block Memory Generator module hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst  is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_4_5 collision detected at time: 390000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 0, B read address: 0
blk_mem_gen_v8_4_5 collision detected at time: 400000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 0, B read address: 0
blk_mem_gen_v8_4_5 collision detected at time: 410000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 0, B read address: 0
blk_mem_gen_v8_4_5 collision detected at time: 420000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 0, B read address: 0
blk_mem_gen_v8_4_5 collision detected at time: 430000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 0, B read address: 0
blk_mem_gen_v8_4_5 collision detected at time: 440000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 0, B read address: 0
blk_mem_gen_v8_4_5 collision detected at time: 450000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 0, B read address: 0
blk_mem_gen_v8_4_5 collision detected at time: 460000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 0, B read address: 0
blk_mem_gen_v8_4_5 collision detected at time: 470000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 0, B read address: 0
blk_mem_gen_v8_4_5 collision detected at time: 480000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 0, B read address: 0
blk_mem_gen_v8_4_5 collision detected at time: 490000, Instance: hdmi_text_controller_tb.hdmi_text_controller_v1_0_inst.newblkmem.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst , A write address: 0, B read address: 0
